	episode	timestamp	player	character	speech	segmented	intent
0	S1E601	captain_election	1号	民	1号预言家	1 号 预言家	defense
1	S1E601	captain_election	1号	民	昨天晚上查杀是5号牌	昨天晚上 查杀 是 5 号牌	attack
2	S1E601	captain_election	1号	民	我的警徽流先验9号这张牌，帮大家正一正场上的风气，如果是查杀的话就直接走掉了	我 的 警徽流 先验 9 号 这 张牌 ， 帮 大家 正一正 场上 的 风气 ， 如果 是 查杀 的话 就 直接 走掉 了	to_check
3	S1E601	captain_election	1号	民	然后再验呢，再验3号这张牌，3号最近进步太大了，好吧	然后 再验 呢 ， 再验 3 号 这 张牌 ， 3 号 最近 进步 太大 了 ， 好 吧	to_check
4	S1E601	captain_election	1号	民	我觉得你们都是一个水平线的玩家，我先验9再验3	我 觉得 你们 都 是 一个 水平线 的 玩家 ， 我 先验 9 再验 3	to_check
5	S1E601	captain_election	1号	民	昨天晚上5号牌是我的一张查杀牌，好吧，预言家过	昨天晚上 5 号牌 是 我 的 一张 查杀 牌 ， 好 吧 ， 预言家 过	attack
6	S1E601	captain_election	6号	狼	6号玩家发言，就是我先说一下我的警徽流，我要验1号，我验1号的原因等一下再说	6 号 玩家 发言 ， 就是 我 先 说 一下 我 的 警徽流 ， 我 要验 1 号 ， 我验 1 号 的 原因 等 一下 再说	to_check
7	S1E601	captain_election	6号	狼	我先1，然后再11号，就是没有到我发言之前，警徽流不改	我先 1 ， 然后 再 11 号 ， 就是 没有 到 我 发言 之前 ， 警徽流 不改	to_check
8	S1E601	captain_election	6号	狼	我昨天晚上查杀是3号这张牌	我 昨天晚上 查杀 是 3 号 这 张牌	attack
9	S1E601	captain_election	6号	狼	我怎么我为什么要验你1号呢，因为你把我的一张查杀牌放到你警徽流里边了，所以我要验你	我 怎么 我 为什么 要验 你 1 号 呢 ， 因为 你 把 我 的 一张 查杀 牌 放到 你 警徽流 里边 了 ， 所以 我 要验 你	attack
